8.8 1 1.29252 1.68172
8.85 1 1.27188 1.69067
8.9 1 1.25057 1.6986
8.95 1 1.22862 1.70552
9 1 1.20611 1.71139
9.05 1 1.18308 1.71622
9.1 1 1.15959 1.72
9.15 1 1.13571 1.72271
9.2 1 1.11148 1.72436
9.25 1 1.08698 1.72495
9.3 1 1.06226 1.72446
9.35 1 1.03739 1.72291
9.4 1 1.01242 1.72029
9.45 1 0.987414 1.71661
9.5 1 0.962445 1.71188
9.55 1 0.937569 1.7061
9.6 1 0.91285 1.69928
9.65 1 0.888348 1.69144
9.7 1 0.864126 1.68258
9.75 1 0.840243 1.67273
9.8 1 0.816759 1.66189
9.85 1 0.793733 1.65009
9.9 1 0.771222 1.63735
9.95 1 0.749284 1.62368
10 1 0.727972 1.60911
10.05 1 0.70734 1.59366
10.1 1 0.687439 1.57737
10.15 1 0.668319 1.56025
10.2 1 0.650029 1.54235
10.25 1 0.632613 1.52368
10.3 1 0.616116 1.50429
10.35 1 0.600578 1.48419
10.4 1 0.586038 1.46344
10.45 1 0.572533 1.44207
10.5 1 0.560097 1.42011
10.55 1 0.54876 1.3976
10.6 1 0.53855 1.37459
10.65 1 0.529493 1.35112
10.7 1 0.521613 1.32722
10.75 1 0.514929 1.30295
10.8 1 0.509458 1.27834
10.85 1 0.505212 1.25345
10.9 1 0.502203 1.22831
10.95 1 0.500439 1.20298
11 1 0.499922 1.17751
11.05 1 0.500655 1.15194
11.1 1 0.502636 1.12632
11.15 1 0.505861 1.1007
11.2 1 0.510321 1.07513
11.25 1 0.516006 1.04967
11.3 1 0.5229 1.02435
11.35 1 0.530986 0.99924
11.4 1 0.540245 0.974378
11.45 1 0.550652 0.949817
11.5 1 0.562182 0.925608
11.55 1 0.574806 0.901798
11.6 1 0.588494 0.878438
11.65 1 0.603211 0.855574
11.7 1 0.618919 0.833254
11.75 1 0.63558 0.811524
11.8 1 0.653152 0.79043
11.85 1 0.671591 0.770015
11.9 1 0.69085 0.750324
11.95 1 0.710882 0.731398
12 1 0.731635 0.713277
12.05 1 0.753061 0.696
12.1 1 0.775104 0.679603
12.15 1 0.79771 0.664124
12.2 1 0.82082 0.649593
12.25 1 0.844379 0.636044
12.3 1 0.868327 0.623506
12.35 1 0.892603 0.612005
12.4 1 0.917148 0.601568
12.45 1 0.9419 0.592218
12.5 1 0.966797 0.583975
12.55 1 0.991778 0.576857
